PLANA_ID	OLD_NAME	defined_class	defined_class_name	edit_entity	edit_entity_label	defined_class_definition	def_dbxref	dbxref	exact_syn	depicted_by	image_comment
PLANA:0000065	flame cell	PLANA:0000065	flame cell	PLANA:0000065	flame cell	Terminal structure of the protonephridia unit, capping the proximal tubules. Flame cells are defined by the ‘filtration weir’, or filtration diaphragm, which consists of closely apposed strands of cytoplasm surrounding a central cilia bundle, and by numerous microvilli between weir and cilia. Positive for acetyated tubulin. 	PMID:21828097|PMID:26057828|OCLC:16809160	PMID:21828097|PMID:24523458|PMID:27068018|PMID:19247960|PMID:17670787|PMID:26057828|PMID:29674432|PMID:21937596|PMID:27542689|ISBN:9780070316607|PMID:26711341|PMID:19852954|PMID:29674431			
PLANA:0000079	parenchymal musculature	PLANA:0000079	parenchymal musculature	PLANA:0000079	parenchymal musculature	Muscles that are present through the mesenchyme, inclusing dorsal-ventral muscles, intestinal muscles and pharynx muscles. 	OCLC:16809160	ISBN:9780070316607 | PMID:30962434	parenchymal muscle		
PLANA:0000085	primitive gut cell 	PLANA:0000085	primitive gut cell 	PLANA:0000085	primitive gut cell 	A phagocytic cell closely associated with the temporary embryonic pharynx.	PMID:28072387	PMID:28072387			
PLANA:0000115	distal tubule epithelial cell	PLANA:0000115	distal tubule epithelial cell	PLANA:0000115	distal tubule epithelial cell	Nonciliated epithelial cells that assemble into protonephridial distal tubules.	PMID:21828097	PMID:29674431	distal tubule cell		
PLANA:0000201	bursal canal	PLANA:0000201	bursal canal	PLANA:0000201	bursal canal	The passageway connecting the genital atrium to the copulatory bursa. Part of the copulatory apparatus. During mating, sperm from a partner is deposited into the bursal canal, where it collects in the copulatory bursa before travelling up the oviducts to the tuba.  	PMID:22074376	PMID:27149082|PMID:22074376|ISBN:9780070316607|PMID:25278423|PMID:20967238			
PLANA:0000224	cement gland	PLANA:0000224	cement gland	PLANA:0000224	cement gland	Glands surrounding the genital atrium that are required for production of the proteinaceous egg capsule shell and stalk.	ASIN:B000M4NK9M|PMID:18942102|PMID:22074376|PMID:27149082	PMID:20967238|PMID:23652002|PMID:25278423|PMID:27149082|ISBN: 9780070316607	shell gland		
PLANA:0000233	copulatory bursa	PLANA:0000233	copulatory bursa	PLANA:0000233	copulatory bursa	An organ that receives and stores sperm from mating partners. 	PMID:22074376	PMID:20967238|PMID:25278423|PMID:22074376|https://doi.org/10.1101/279364|ISBN: 9780070316607	male antrum		
PLANA:0000419	prepharyngeal region	PLANA:0000419	prepharyngeal region	PLANA:0000419	prepharyngeal region	Region of the juvenile or adult animal between the posterior end of the cephalic ganglia and the anterior end of the definitive pharynx.		PMID:21295481|PMID:29547123|PMID:27150006|PMID:17251262|https://doi.org/10.1101/279364|PMID:28287248|PMID:27063937|PMID:26556349|PMID:24120894|PMID:28216315|PMID:22339734|PMID:29674431|PMID:23318641|PMID:18202849|PMID:21852957|PMID:24922054|PMID:28893948|PMID:28245923|PMID:18287199	neck | pre-pharyngeal region|pre-pharynx region		
PLANA:0004503	sexually mature adult 	PLANA:0004503	adult hermaphrodite	PLANA:0004503	adult hermaphrodite	A fully formed, sexually mature organism. The sexually reproducing Schmidtea mediterranea biotype exists as an obligate cross-fertilizing hermaphrodite.	PMID:19022767|PMID:11972158		sexual adult | sexually mature adult		
PLANA:0000136	whole organism	PLANA:0000136	whole organism	PLANA:0000136	whole organism	Anatomical structure that is an individual member of of Schmidtea mediterranea or any other flatworm of the class Turbellaria.		PMID:17251262|PMID:26711341|PMID:27502555|PMID:29906446|PMID:28976975	whole worm | WW | intact animal | intact planarian | whole animal		
PLANA:0000008	Stage 8	PLANA:0000008	Stage 8	PLANA:0000008	Stage 8	D13-D15. Organogenesis and organ maturation continues. Hatching. Days 13-15 post-egg capsule deposition at 20˚C.	PMID:28072387		hatchling		
PLANA:0000031	pigment cup cell	PLANA:0000031	pigment cup cell	PLANA:0000031	pigment cup cell	Non-neuronal, pigmented cells arrayed along the proximal side of the optic cup.	PMID:21852957|PMID:22884275	PMID:23318641|PMID:22445864|PMID:30471994|PMID:21852957|PMID:17553481|PMID:29674432|PMID:28976975|PMID:28245923|PMID:25254346|PMID:21458439|PMID:20967238|PMID:28495872|PMID:26017970|PMID:27551436|PMID:17390146|PMID:27122174|PMID:25493551|PMID:28137894|PMID:29158443|PMID:23250205|PMID:21282632|PMID:17251262|PMID:27606067|PMID:28287248|PMID:24063805|PMID:17905225|PMID:22339734|PMID:29674431	optic cup cell | melanin pigment cell | eye pigment cell | eye pigment cell|eye pigment cup cell|eye pigment producing cell|eye pigmented cell|melanin pigment cell|optic cup cell|photoceptor pigmented cell|pigment cell		
