defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	anatomical_space	anatomical_space_label	defined_class_definition	image_comment	exact_syn	depicted_by	def_dbxref	image_dbxref	term_id
PLANA:0007519	anterior-posterior axis of the whole animal	PLANA:0000136	whole animal	BSPO:0000013	anterior-posterior axis	Axis that runs along the long axis of the animal from anterior (head) to posterior (tail). It is perpendicular to the dorsoventral axis and as such, it splits dorsal and ventral regions of the animal to either side.	Depiction shows an asexual with the term annoated in yellow. Scale bar =500um	anterior-posterior axis | main body axis	http://purl.obolibrary.org/obo/plana/images/anteroposterioraxis.png			PLANA:0007519
PLANA:0007520	dorsal-ventral axis of the whole animal	PLANA:0000136	whole animal	BSPO:0000016	dorsal-ventral axis	Axis that runs along the short axis of the animal, perpendicular to the anteroposterior axis, running from the dorsal (back) side of the animal to the ventral (belly) side of the animal. This axis splits anterior and posterior regions of the animal to either side.		dorsal-ventral axis				PLANA:0007520
PLANA:0007503	sagittal plane of the whole animal	PLANA:0000136	whole animal	BSPO:0000417	sagittal plane	Anatomical plane which divides the body into right and left parts. This plane passes through the midline.						PLANA:0007503
PLANA:0004511	oral-aboral axis of the embryo	PLANA:0000116	embryo	BSPO:0000198	oral-aboral axis	Axis that runs from the oral pole and to the aboral pole of the spherical embryo (Stage 3 through early Stage 6). The oral pole is centered around the temporary embryonic pharynx; the aboral pole is located opposite the temporary embryonic pharynx.	Depicted by is an illustration noting the oral-aboral axis in cyan double headed arrow. Note it starts at the temporary embryonic pharynx and extends to opposite.		http://purl.obolibrary.org/obo/plana/images/oralaboralaxis.png	PMID:28072387		PLANA:0004511
PLANA:0007521	dextro-sinister axis of the whole animal	PLANA:0000136	whole animal	BSPO:0000017	left-right axis	Axis perpendicular to both the anteroposterior and dorsoventral axis that runs from the left side of the animal, through the medial region (center) and out to the right side.	Depiction shows an asexual with the term annoated in yellow. Scale bar =500um	left-right axis | dextro-sinister axis	http://purl.obolibrary.org/obo/plana/images/dextro-sinisteraxis.png			PLANA:0007521
PLANA:0007522	medial-lateral axis of the whole animal	PLANA:0000136	whole animal	BSPO:0001001	medial-lateral axis	Axis that runs from the center of the body, starting at the anteroposterior axis and out to the lateral (left, right, dorsal or ventral) surface of the animal.	Depiction shows an asexual with the term annoated in yellow. Scale bar =500um	medial-lateral axis	http://purl.obolibrary.org/obo/plana/images/mediolateralaxis.png			PLANA:0007522
PLANA:0007523	proximal-distal axis of the whole animal	PLANA:0000136	whole animal	BSPO:0000015	proximal-distal axis	Axis that starts at the distal part of an appendage, closest to the body, and runs to the proximal part of an appendage, farthest from the body.	Depicted by shows a planarian pharynx exposed by tricaine treatment. The proximodistal axis is denoted with the double headed magenta arrow.	proximal-distal axis	http://purl.obolibrary.org/obo/plana/images/proximodistalaxis.png		PMID:4737865	PLANA:0007523
PLANA:0000410	basal surface of the epidermal compartment	PLANA:0000034	epidermis	BSPO:0000374	basal surface	The basal surface of the epidermal epithelium in direct contact with the basal lamina.	The depicted by field is an electron micrograph of the dorsal epidermis in a transverse plane. The basal epidermis surface is noted with magenta arrows. Scale bar is 5um.		http://purl.obolibrary.org/obo/plana/images/basalepidermissurface.png			PLANA:0000410
PLANA:0000409	apical surface of the epidermal compartment	PLANA:0000034	epidermis	BSPO:0000373	apical surface	The apical surface of the single layered epidermis that is in contact with the environment.	Depicted by field is an electron micrograph of the dorsal epidermis in a transverse plane from an asexual adult animal. The apical epidermis surface is noted with magenta arrows. Scale bar is 5um.		http://purl.obolibrary.org/obo/plana/images/apicalepidermissurface.png			PLANA:0000409
PLANA:0000140	anterior region of the whole animal	PLANA:0000136	whole animal	BSPO:0000071	anterior region	Compartment along the anteroposterior axis closer to the head rather than the tail, from the head margin to the esophagus.				OCLC:16809160		PLANA:0000140
PLANA:0000141	dorsal region of the whole animal	PLANA:0000136	whole animal	BSPO:0000079	dorsal region	Three dimensional compartment along the dorsoventral axis that is above the anteroposterior axis, containing the eyes.						PLANA:0000141
PLANA:0000054	dorsal epidermis	PLANA:0000034	epidermis	BSPO:0000079	dorsal region	Single cell layer of dorsal, post-mitotic, epithelial cells containing the dorsal stripe.						PLANA:0000054
PLANA:0000032	dorsal midline	PLANA:0000030	midline	BSPO:0000079	dorsal region	The median line/plane of bilateral symmetry along the anteroposterior axis on the dorsal surface of the animal.						PLANA:0000032
PLANA:0000038	ventral midline	PLANA:0000030	midline	BSPO:0000084	ventral region	The median line/ plane of bilateral symmetry along the anteroposterior axis on the ventral surface of the animal.						PLANA:0000038
PLANA:0000142	posterior compartment of the whole animal	PLANA:0000136	whole animal	BSPO:0000072	posterior region	Three dimensional compartment along the anteroposterior axis that is closer to the tail rather than the head, from the anterior boundary of the pharyngeal pouch to the tip of the tail.						PLANA:0000142
PLANA:0000143	ventral compartment of the whole animal	PLANA:0000136	whole animal	BSPO:0000084	ventral region	Compartment along the dorsoventral axis that is below the anteroposterior axis.						PLANA:0000143
PLANA:0000096	ventral region of the epidermal compartment	PLANA:0000034	epidermis	BSPO:0000084	ventral region	Single cell layer of ventral, post-mitotic, heavily ciliated epithelial cells						PLANA:0000096
PLANA:0000043	dorsal ventral margin	PLANA:0000136	whole animal	BSPO:0000094	dorsal/ventral compartment boundary	Region along the edge of the animal where the dorsal and ventral surfaces meet.		dorsoventral margin | edge				PLANA:0000043
PLANA:0003000	anterior photoreceptor neuron	PLANA:0000017	photoreceptor neuron	FBcv:0000053	anterior							PLANA:0000044
