defined_class	defined_class_name	contained_in	contained_in_label
PLANA:0000009	sigma neoblast	PLANA:0004527	copulatory region
PLANA:0000009	sigma neoblast	PLANA:0000142	posterior region
PLANA:0000009	sigma neoblast	PLANA:0000140	anterior region
PLANA:0000009	sigma neoblast	PLANA:0000143	ventral region
PLANA:0000009	sigma neoblast	PLANA:0000419	prepharyngeal region
PLANA:0000009	sigma neoblast	PLANA:0000141	dorsal region
PLANA:0000009	sigma neoblast	PLANA:0000421	tail
PLANA:0000009	sigma neoblast	PLANA:0000420	parapharyngeal region
PLANA:0000014	zeta neoblast	PLANA:0000420	parapharyngeal region
PLANA:0000014	zeta neoblast	PLANA:0000141	dorsal region
PLANA:0000014	zeta neoblast	PLANA:0000419	prepharyngeal region
PLANA:0000014	zeta neoblast	PLANA:0000143	ventral region
PLANA:0000014	zeta neoblast	PLANA:0000421	tail
PLANA:0000014	zeta neoblast	PLANA:0000418	head
PLANA:0000014	zeta neoblast	PLANA:0000140	anterior region
PLANA:0000014	zeta neoblast	PLANA:0004527	copulatory region
PLANA:0000014	zeta neoblast	PLANA:0000142	posterior region
PLANA:0000016	pharynx	PLANA:0000142	posterior region
PLANA:0000016	pharynx	PLANA:0000420	parapharyngeal region
PLANA:0000017	photoreceptor neuron	PLANA:0000141	dorsal region
PLANA:0000017	photoreceptor neuron	PLANA:0000418	head
PLANA:0000017	photoreceptor neuron	PLANA:0000140	anterior region
PLANA:0000018	Category 4 cell	PLANA:0000418	head
PLANA:0000018	Category 4 cell	PLANA:0000140	anterior region
PLANA:0000018	Category 4 cell	PLANA:0004527	copulatory region
PLANA:0000018	Category 4 cell	PLANA:0000142	posterior region
PLANA:0000018	Category 4 cell	PLANA:0000420	parapharyngeal region
PLANA:0000018	Category 4 cell	PLANA:0000141	dorsal region
PLANA:0000018	Category 4 cell	PLANA:0000419	prepharyngeal region
PLANA:0000018	Category 4 cell	PLANA:0000143	ventral region
PLANA:0000018	Category 4 cell	PLANA:0000421	tail
PLANA:0000020	protonephridia	PLANA:0000141	dorsal region
PLANA:0000020	protonephridia	PLANA:0000419	prepharyngeal region
PLANA:0000020	protonephridia	PLANA:0000421	tail
PLANA:0000020	protonephridia	PLANA:0000420	parapharyngeal region
PLANA:0000020	protonephridia	PLANA:0004527	copulatory region
PLANA:0000020	protonephridia	PLANA:0000142	posterior region
PLANA:0000020	protonephridia	PLANA:0000418	head
PLANA:0000020	protonephridia	PLANA:0000140	anterior region
PLANA:0000022	Category 5 cell	PLANA:0000418	head
PLANA:0000022	Category 5 cell	PLANA:0000140	anterior region
PLANA:0000022	Category 5 cell	PLANA:0004527	copulatory region
PLANA:0000022	Category 5 cell	PLANA:0000142	posterior region
PLANA:0000022	Category 5 cell	PLANA:0000420	parapharyngeal region
PLANA:0000022	Category 5 cell	PLANA:0000141	dorsal region
PLANA:0000022	Category 5 cell	PLANA:0000419	prepharyngeal region
PLANA:0000022	Category 5 cell	PLANA:0000143	ventral region
PLANA:0000022	Category 5 cell	PLANA:0000421	tail
PLANA:0000023	embryonic pharynx	PLANA:0000076	oral hemisphere
PLANA:0000026	gut	PLANA:0000143	ventral region
PLANA:0000026	gut	PLANA:0000419	prepharyngeal region
PLANA:0000026	gut	PLANA:0000141	dorsal region
PLANA:0000026	gut	PLANA:0000421	tail
PLANA:0000026	gut	PLANA:0000420	parapharyngeal region
PLANA:0000026	gut	PLANA:0004527	copulatory region
