defined_class	defined_class_name	new_entity	new_entity_label	parent_entity	parent_entity_label	exact_syn	defined_class_definition	dbxref	def_dbxref	depictedBy	depicted_by	image_comment	comment	has_obo_namespace	created_by	part_of	part_of_label	contained_in	contained_in_label	develops_from	develops_from_label	existence_starts_during_or_after	existence_starts_during_or_after_label	existence_ends_during_or_before	existence_ends_during_or_before_label	existence_overlaps	existence_overlaps_label	immediately_deep_to	immediately_deep_to_label	immediately_superficial_to	immediately_superficial_to_label	adjacent_to	adjacent_to_label	anterior_to	anterior_to_label	posterior_to	posterior_to_label	participates_in	participates_in_label	produced_by	produced_by_label	produces_this	produces_this_label	specific_to	specific_to_label	results_in 	results_ label 
PLANA:0000001	Stage 1	PLANA:0000001	Stage 1	UBERON:0000068	embryo stage		A stage of Smed embryonic development, 0 - 2 days post-egg capsule deposition at 20˚C. Zygote and dispersed blastomere cleavage in a yolk syncytium. 	PMID:28072387						Schmidtea_mediterranea_Developmental_Stages	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4897																													PLANA:0000027|PLANA:0000116	Smed sexual biotype|embryo		
PLANA:0000002	Stage 2	PLANA:0000002	Stage 2	UBERON:0000068	embryo stage	protosphere	A stage of Smed embryonic development defined by a unique gene expression signature and morphology, 2 - 3 days post-egg capsule deposition at 20˚C. Sphere formation. A fraction of the blastomeres differentiate into temporary embryonic tissues that provide form and function to the embryo. Undifferentiated blastomeres remain in the embryonic wall. 	PMID:28072387			http://purl.obolibrary.org/obo/plana/images/Stage2.png	Depicted by field contains hematoxylin and eosin staining section of a stage 2 embryo. Scale bar = 100um		Schmidtea_mediterranea_Developmental_Stages	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4898																													PLANA:0000027|PLANA:0000116	Smed sexual biotype|embryo		
PLANA:0000003	Stage 3	PLANA:0000003	Stage 3	UBERON:0000068	embryo stage		A stage of Smed embryonic development defined by a unique gene expression signature and morphology, 2 - 4 days post-egg capsule deposition at 20˚C. Dispersed blastomere cleavage in the embryonic wall of nascent spheres. Yolk ingestion into the gut cavity. 	PMID:28072387			http://purl.obolibrary.org/obo/plana/images/Stage3.png	Depicted by field contains hematoxylin and eosin staining section of a stage 3 embryo. Scale bar = 100um		Schmidtea_mediterranea_Developmental_Stages	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4899																													PLANA:0000027|PLANA:0000116	Smed sexual biotype|embryo		
PLANA:0000004	Stage 4	PLANA:0000004	Stage 4	UBERON:0000068	embryo stage		A stage of Smed embryonic development defined by a unique gene expression signature and morphology, 3 - 5 days post-egg capsule deposition at 20˚C. Dispersed blastomere cleavage in the embryonic wall. Yolk ingestion into the gut cavity. Early embryonic gut formation. 	PMID:28072387			http://purl.obolibrary.org/obo/plana/images/stage4.png	Depicted by field contains hematoxylin and eosin staining section of a stage 4 embryo. Scale bar = 100um		Schmidtea_mediterranea_Developmental_Stages	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4900																													PLANA:0000027|PLANA:0000116	Smed sexual biotype|embryo		
PLANA:0000005	Stage 5	PLANA:0000005	Stage 5	UBERON:0000068	embryo stage		A stage of Smed embryonic development defined by a unique gene expression signature and morphology, 5-7 days post-egg capsule deposition at 20˚C. Organogenesis onset. Downregulation of early embryo enriched transcripts and birth of adult lineages within the blastomere population. Early embryonic gut formation continues. Yolk ingestion into the gut cavity. 	PMID:28072387			http://purl.obolibrary.org/obo/plana/images/stage5.png	Depicted by field contains hematoxylin and eosin staining section of a stage 5 embryo. Scale bar = 100um		Schmidtea_mediterranea_Developmental_Stages	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4901																													PLANA:0000027|PLANA:0000116	Smed sexual biotype|embryo		
PLANA:0000006	Stage 6	PLANA:0000006	Stage 6	UBERON:0000068	embryo stage		A stage of Smed embryonic development defined by a unique gene expression signature and morphology, 7 - 9 days post-egg capsule deposition at 20˚C. Organogenesis and morphogenesis. Definitive organ formation. Temporary embryonic cell types degenerate. Embryo elongation. 	PMID:28072387			http://purl.obolibrary.org/obo/plana/images/stage6.png	Depicted by field contains hematoxylin and eosin staining section of a stage 6 embryo. Scale bar = 100um		Schmidtea_mediterranea_Developmental_Stages	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4902																													PLANA:0000027|PLANA:0000116	Smed sexual biotype|embryo		
PLANA:0000007	Stage 7	PLANA:0000007	Stage 7	UBERON:0000068	embryo stage		A stage of Smed embryonic development defined by a unique gene expression signature and morphology, 9 - 11 days post-egg capsule deposition at 20˚C. Organogenesis and organ maturation continues. Embryos elongated. Eyes just visible. Onset of gliding motility. 	PMID:28072387|PMID:28812561			http://purl.obolibrary.org/obo/plana/images/stage7.png	Depicted by field contains hematoxylin and eosin staining section of a stage 7 embryo. Scale bar = 100um		Schmidtea_mediterranea_Developmental_Stages	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4903																													PLANA:0000027|PLANA:0000116	Smed sexual biotype|embryo		
PLANA:0000008	Stage 8	PLANA:0000008	Stage 8	UBERON:0000068	embryo stage	hatchling | newborn hatchling	A stage of Smed embryonic development defined by a unique gene expression signature and morphology, 13 - 15 days post-egg capsule deposition at 20˚C. Organogenesis and organ maturation continues. Hatching. 	PMID:28072387			http://purl.obolibrary.org/obo/plana/images/stage8.png	Depicted by field contains hematoxylin and eosin staining section of a stage 8 embryo. Scale bar = 100um		Schmidtea_mediterranea_Developmental_Stages	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4904																													PLANA:0000027|PLANA:0000116	Smed sexual biotype|embryo		
PLANA:0000009	sigma neoblast	PLANA:0000009	sigma neoblast	PLANA:0000429	neoblast	sigma class neoblast|sigma-class neoblast	A heterogeneous subpopulation of neoblasts with enriched expression of SoxP-1 and SoxP-2 thought to contain both pluripotent stem cells and tissue-specific progenitors.	PMID:15972844|PMID:25017721|PMID:25956527|PMID:26457503|PMID:26651295|PMID:27013241|PMID:27150006|PMID:27542689|PMID:28287248|PMID:28686611|PMID:28757112|PMID:29557542|PMID:29674432|PMID:29906446						Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4879			PLANA:0000143|PLANA:0000419|PLANA:0000421|PLANA:0004527|PLANA:0000142|PLANA:0000420|PLANA:0000140|PLANA:0000141	ventral region|prepharyngeal region|tail|copulatory region|posterior region|parapharyngeal region|anterior region|dorsal region	PLANA:0004517	blastomere	PLANA:0000005	Stage 5			PLANA:0000006|PLANA:0000008|PLANA:0004504|PLANA:0000007|PLANA:0000214|PLANA:0000005|PLANA:0004503	Stage 6|Stage 8|asexual adult|Stage 7|juvenile|Stage 5|adult hermaphrodite																				
PLANA:0000011	protonephridial progenitor	PLANA:0000011	protonephridial progenitor				Neoblasts and post-mitotic, differentiating daughters coexpressing POU2-3, six1/2-2, Sal1, Eya and Osr,required for maintenance and regeneration of protonephridial cell types.			Don't Edit here. Edit in progenitorCellTypes.tsv tab				Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4838																																
