term,label
http://purl.obolibrary.org/obo/PLANA_0003258,meiotic telophase II spermatocyte
http://purl.obolibrary.org/obo/GO_0000237,leptotene
http://purl.obolibrary.org/obo/GO_0008150,biological_process
http://purl.obolibrary.org/obo/IAO_0000229,term split
http://purl.obolibrary.org/obo/PLANA_0000459,optic chiasm
http://purl.obolibrary.org/obo/PLANA_0000079,parenchymal musculature
http://purl.obolibrary.org/obo/RO_0002212,negatively regulates
http://purl.obolibrary.org/obo/RO_0002212,negatively regulates
http://purl.obolibrary.org/obo/RO_0002022,directly regulated by
http://purl.obolibrary.org/obo/GO_0065007,biological regulation
http://purl.obolibrary.org/obo/PLANA_0000491,obsolete plane of autotomy
http://purl.obolibrary.org/obo/PLANA_0000491,obsolete plane of autonomy
http://purl.obolibrary.org/obo/RO_0002384,has developmental potential involving
http://purl.obolibrary.org/obo/PLANA_0003253,meiotic telophase I spermatocyte
http://purl.obolibrary.org/obo/GO_0007338,single fertilization
http://purl.obolibrary.org/obo/IAO_0000224,core
http://purl.obolibrary.org/obo/PLANA_0007521,left-right axis
http://purl.obolibrary.org/obo/BSPO_0000017,left-right axis
http://purl.obolibrary.org/obo/PLANA_0000074,oocyte
http://purl.obolibrary.org/obo/PLANA_0003216,G2 phase  oogonial stem cell
http://purl.obolibrary.org/obo/PLANA_0002122,perturbation
http://purl.obolibrary.org/obo/GO_0006796,phosphate-containing compound metabolic process
http://purl.obolibrary.org/obo/GO_2000242,negative regulation of reproductive process
http://purl.obolibrary.org/obo/GO_0045992,negative regulation of embryonic development
http://purl.obolibrary.org/obo/PLANA_0004532,oviduct epithelium
http://purl.obolibrary.org/obo/PLANA_0000417,definitive organism subdivision
http://purl.obolibrary.org/obo/PLANA_0000227,germ cell
http://purl.obolibrary.org/obo/PLANA_0000037,obsolete definitive tissue
http://purl.obolibrary.org/obo/PLANA_0003401,testis lumen
http://purl.obolibrary.org/obo/PLANA_0002067,nuclear outer membrane
http://purl.obolibrary.org/obo/PLANA_0003211,metaphase spermatogonial stem cell
http://purl.obolibrary.org/obo/RO_0004049,is positive form of
http://purl.obolibrary.org/obo/GO_0051447,negative regulation of meiotic cell cycle
http://purl.obolibrary.org/obo/UBERON_0000068,embryo stage
http://purl.obolibrary.org/obo/PLANA_0000412,pharynx inner epithelium surface
http://purl.obolibrary.org/obo/RO_0002305,"causally upstream of, negative effect"
http://purl.obolibrary.org/obo/PLANA_0000222,spermatid
http://purl.obolibrary.org/obo/PLANA_0000032,dorsal midline
http://purl.obolibrary.org/obo/GO_0007088,regulation of mitotic nuclear division
http://purl.obolibrary.org/obo/PLANA_0002062,neuropeptidergic neuron
http://purl.obolibrary.org/obo/GO_0048522,positive regulation of cellular process
http://purl.obolibrary.org/obo/PLANA_0000547,commissural neuron
http://purl.obolibrary.org/obo/PLANA_0002025,commissure
http://purl.obolibrary.org/obo/RO_0002092,happens during
http://purl.obolibrary.org/obo/RO_0002092,happens during
http://purl.obolibrary.org/obo/PLANA_0007559,ovary nerve plexus
http://purl.obolibrary.org/obo/IAO_0000122,ready for release
http://purl.obolibrary.org/obo/GO_0003674,molecular_function
http://purl.obolibrary.org/obo/GO_0003824,catalytic activity
http://purl.obolibrary.org/obo/PLANA_0003304,testis primordium
http://purl.obolibrary.org/obo/PLANA_0003114,melanin pigment granule
http://purl.obolibrary.org/obo/PLANA_0002058,melanosome
http://purl.obolibrary.org/obo/PLANA_0002020,chromatoid body
http://www.geneontology.org/formats/oboInOwl#hasOBOFormatVersion,has_obo_format_version
http://purl.obolibrary.org/obo/PLANA_0000505,cell-cell contact zone
http://purl.obolibrary.org/obo/PLANA_0000125,sensory system
http://purl.obolibrary.org/obo/RO_0002018,has component process
http://purl.obolibrary.org/obo/PLANA_0007554,parenchymal compartment
http://purl.obolibrary.org/obo/PLANA_0000487,acidophilic gland cell
http://purl.obolibrary.org/obo/RO_0002430,involved in negative regulation of
http://purl.obolibrary.org/obo/PLANA_0003249,diplotene stage spermatocyte
http://purl.obolibrary.org/obo/PLANA_0000142,posterior region
http://purl.obolibrary.org/obo/BSPO_0000072,posterior region
http://purl.obolibrary.org/obo/PLANA_0000500,obsolete cell part
http://purl.obolibrary.org/obo/PLANA_0000120,progenitor cell
http://purl.obolibrary.org/obo/RO_0002203,develops into
http://purl.obolibrary.org/obo/RO_0002203,develops_into
http://purl.obolibrary.org/obo/PLANA_0002118,epithelium
http://purl.obolibrary.org/obo/RO_0002013,has regulatory component activity
http://purl.obolibrary.org/obo/GO_0016740,transferase activity
http://purl.obolibrary.org/obo/BSPO_0000035,postero-ventral region
http://purl.obolibrary.org/obo/PLANA_0000482,dopaminergic neuron
http://purl.obolibrary.org/obo/PLANA_0004528,pharynx epithelium
http://purl.obolibrary.org/obo/PLANA_0003244,meiotic G2 phase spermatocyte
http://www.geneontology.org/formats/oboInOwl#shorthand,shorthand
http://purl.obolibrary.org/obo/GO_0009966,regulation of signal transduction
http://purl.obolibrary.org/obo/GO_0007139,meiotic telophase II
http://purl.obolibrary.org/obo/PLANA_0007512,mitochondrion
http://purl.obolibrary.org/obo/PLANA_0000065,flame cell
http://purl.obolibrary.org/obo/PLANA_0003207,G1 phase spermatogonial stem cell
http://purl.obolibrary.org/obo/PLANA_0002113,post-pharyngeal region
http://purl.obolibrary.org/obo/BSPO_0000030,postero-dorsal region
http://purl.obolibrary.org/obo/RO_0002180,has component
http://purl.obolibrary.org/obo/RO_0002180,has component
http://purl.obolibrary.org/obo/PLANA_0002095,somatic cell
http://purl.obolibrary.org/obo/PLANA_0000218,male primordial germ cell
http://purl.obolibrary.org/obo/PLANA_0000028,Category 2 cell
http://purl.obolibrary.org/obo/UBERON_0000476,acellular anatomical structure
http://purl.obolibrary.org/obo/GO_0007134,meiotic telophase I
http://purl.obolibrary.org/obo/RO_0002333,enabled by
http://purl.obolibrary.org/obo/GO_0031324,negative regulation of cellular metabolic process
http://purl.obolibrary.org/obo/PLANA_0000060,embryonic wall
http://purl.obolibrary.org/obo/PLANA_0003202,G2 phase neoblast
http://purl.obolibrary.org/obo/GO_0048518,positive regulation of biological process
http://purl.obolibrary.org/obo/GO_0044092,negative regulation of molecular function
http://purl.obolibrary.org/obo/PLANA_0002090,reproductive structure
http://purl.obolibrary.org/obo/GO_0140013,meiotic nuclear division
http://purl.obolibrary.org/obo/CARO_0000000,anatomical entity
http://purl.obolibrary.org/obo/UBERON_0001062,anatomical entity
http://purl.obolibrary.org/obo/CARO_0000000,anatomical entity
http://purl.obolibrary.org/obo/PLANA_0000403,obsolete anatomical space
http://purl.obolibrary.org/obo/PLANA_0000023,embryonic pharynx
http://purl.obolibrary.org/obo/GO_0050896,response to stimulus
http://purl.obolibrary.org/obo/RO_0002088,during which starts
http://purl.obolibrary.org/obo/PLANA_0002053,lumen
http://purl.obolibrary.org/obo/IAO_0100001,term replaced by
http://purl.obolibrary.org/obo/RO_0004035,"acts upstream of, negative effect"
http://purl.obolibrary.org/obo/GO_1900122,positive regulation of receptor binding
http://purl.obolibrary.org/obo/PLANA_0000538,axon tract
http://purl.obolibrary.org/obo/IAO_0000118,alternative term
http://purl.obolibrary.org/obo/BFO_0000066,occurs in
http://purl.obolibrary.org/obo/BFO_0000066,occurs in
http://purl.obolibrary.org/obo/PLANA_0002016,cephalic ganglia neuron
http://purl.obolibrary.org/obo/PLANA_0000533,nucleolus
http://purl.obolibrary.org/obo/PLANA_0003105,dorsal epidermis cell
http://purl.obolibrary.org/obo/PLANA_0002011,brain visual center
http://purl.obolibrary.org/obo/RO_0003000,produces
http://purl.obolibrary.org/obo/BSPO_0000068,ventral side
http://purl.obolibrary.org/obo/RO_0002598,capable of positively regulating
http://purl.obolibrary.org/obo/PLANA_0000116,embryo
http://purl.obolibrary.org/obo/PLANA_0007545,epidermal compartment
http://purl.obolibrary.org/obo/PLANA_0000478,pharynx musculature
http://purl.obolibrary.org/obo/PLANA_0000098,zygote
http://purl.obolibrary.org/obo/PLANA_0003100,testis cell
http://purl.obolibrary.org/obo/GO_0051716,cellular response to stimulus
http://purl.obolibrary.org/obo/BSPO_0000063,dorsal side
http://purl.obolibrary.org/obo/PLANA_0007508,obsolete extracellular component
http://purl.obolibrary.org/obo/PLANA_0002109,X1 cell
http://purl.obolibrary.org/obo/PLANA_0000111,proximal tubule epithelial cell
http://purl.obolibrary.org/obo/GO_0010948,negative regulation of cell cycle process
http://purl.obolibrary.org/obo/GO_0050794,regulation of cellular process
http://purl.obolibrary.org/obo/PLANA_0007540,viscid gland cell
http://purl.obolibrary.org/obo/BSPO_0000026,antero-dorsal region
http://purl.obolibrary.org/obo/PLANA_0000473,pharynx outer circular muscle cell
http://purl.obolibrary.org/obo/PLANA_0004519,embryonic pharynx neuron
http://purl.obolibrary.org/obo/PLANA_0000093,tertiary gut branch
http://purl.obolibrary.org/obo/GO_0032501,multicellular organismal process
http://purl.obolibrary.org/obo/PLANA_0003235,G1 phase germ cell cyst
http://purl.obolibrary.org/obo/PLANA_0002141,sperm duct epithelial surface
http://purl.obolibrary.org/obo/BSPO_0000198,oral-aboral axis
http://purl.obolibrary.org/obo/PLANA_0004511,oral-aboral axis
http://purl.obolibrary.org/obo/GO_0098764,meiosis I cell cycle phase
http://purl.obolibrary.org/obo/GO_0051331,meiotic G2 phase
http://purl.obolibrary.org/obo/BSPO_0000417,sagittal plane
http://purl.obolibrary.org/obo/PLANA_0007503,sagittal plane
http://purl.obolibrary.org/obo/RO_0002329,part of structure that is capable of
http://purl.obolibrary.org/obo/RO_0002329,part of structure that is capable of
http://purl.obolibrary.org/obo/GO_0044848,biological phase
http://purl.obolibrary.org/obo/GO_0048583,regulation of response to stimulus
http://purl.obolibrary.org/obo/PLANA_0000056,ectolecithal embryo
http://purl.obolibrary.org/obo/PLANA_0002104,tail tip
http://purl.obolibrary.org/obo/GO_0010563,negative regulation of phosphorus metabolic process
http://purl.obolibrary.org/obo/PLANA_0003610,wedge fragment
http://purl.obolibrary.org/obo/PLANA_0004514,embryonic gut cell surface
http://purl.obolibrary.org/obo/PLANA_0002086,primary gut branch
http://purl.obolibrary.org/obo/PLANA_0003230,G2 phase oogonial cell
http://purl.obolibrary.org/obo/UBERON_0000105,life cycle stage
http://purl.obolibrary.org/obo/PLANA_0000209,obsolete developing anatomical structure
http://purl.obolibrary.org/obo/PLANA_0000019,muscle progenitor cell
http://purl.obolibrary.org/obo/PLANA_0000431,organ
http://purl.obolibrary.org/obo/GO_0045937,positive regulation of phosphate metabolic process
http://purl.obolibrary.org/obo/RO_0002324,developmentally related to
http://purl.obolibrary.org/obo/PLANA_0000241,pharynx longitudinal muscle cell
http://purl.obolibrary.org/obo/bspo#vertebrate,synonym typically used in the context of vertebrate anatomy
http://purl.obolibrary.org/obo/PLANA_0000051,obsolete  direct development
http://purl.obolibrary.org/obo/PLANA_0002049,intercellular junction
http://purl.obolibrary.org/obo/RO_0002496,existence starts during or after
http://purl.obolibrary.org/obo/GO_0051239,regulation of multicellular organismal process
http://purl.obolibrary.org/obo/PLANA_0002081,postsynaptic cell
http://purl.obolibrary.org/obo/GO_0043902,positive regulation of multi-organism process
http://purl.obolibrary.org/obo/PLANA_0000204,ovary
http://purl.obolibrary.org/obo/PLANA_0000014,zeta neoblast
http://purl.obolibrary.org/obo/PLANA_0000566,enteric neuron
http://purl.obolibrary.org/obo/GO_0030546,signaling receptor activator activity
http://purl.obolibrary.org/obo/PLANA_0002044,germline stem cell
http://purl.obolibrary.org/obo/PLANA_0000529,nucleus
http://purl.obolibrary.org/obo/GO_0009892,negative regulation of metabolic process
http://purl.obolibrary.org/obo/PLANA_0002007,auricle
http://purl.obolibrary.org/obo/GO_0005575,cellular_component
http://purl.obolibrary.org/obo/GO_0044421,obsolete extracellular region part
http://purl.obolibrary.org/obo/GO_1903047,mitotic cell cycle process
http://purl.obolibrary.org/obo/PLANA_0000561,neuron associated cell (sensu Nematoda and Protostomia)
http://purl.obolibrary.org/obo/RO_0002264,acts upstream of or within
http://purl.obolibrary.org/obo/BSPO_0000096,anterior to
http://purl.obolibrary.org/obo/PLANA_0000524,organelle membrane
http://purl.obolibrary.org/obo/PLANA_0002002,adhesive papilla
http://purl.obolibrary.org/obo/GO_0051781,positive regulation of cell division
http://purl.obolibrary.org/obo/BFO_0000015,process
http://purl.obolibrary.org/obo/PLANA_0000107,yolk cell
http://purl.obolibrary.org/obo/PLANA_0007536,specific_to
http://purl.obolibrary.org/obo/GO_0051174,regulation of phosphorus metabolic process
http://purl.obolibrary.org/obo/RO_0002412,immediately causally upstream of
http://purl.obolibrary.org/obo/PLANA_0000089,secondary gut branch
http://purl.obolibrary.org/obo/GO_0045835,negative regulation of meiotic nuclear division
http://purl.obolibrary.org/obo/RO_0002222,temporally related to
http://purl.obolibrary.org/obo/PLANA_0002137,intracellular granule
http://purl.obolibrary.org/obo/BSPO_0000054,anatomical side
http://purl.obolibrary.org/obo/RO_0002584,has part structure that is capable of
http://purl.obolibrary.org/obo/GO_0051327,meiotic M phase
http://www.geneontology.org/formats/oboInOwl#hasDbXref,database_cross_reference
http://purl.obolibrary.org/obo/BSPO_0000070,anatomical region
http://purl.obolibrary.org/obo/PLANA_0000102,anatomical region
http://purl.obolibrary.org/obo/PLANA_0007511,extracellular organelle
