term,label,definition
http://purl.obolibrary.org/obo/PLANA_0003258,meiotic telophase II spermatocyte,spermatocyte undergoing meiotic telophase II
http://purl.obolibrary.org/obo/GO_0000237,leptotene,"The cell cycle phase which is the first stage of prophase I in meiosis, and during which the chromosomes first become visible."
http://purl.obolibrary.org/obo/GO_0008150,biological_process,"A biological process represents a specific objective that the organism is genetically programmed to achieve. Biological processes are often described by their outcome or ending state, e.g., the biological process of cell division results in the creation of two daughter cells (a divided cell) from a single parent cell. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence."
http://purl.obolibrary.org/obo/PLANA_0000459,optic chiasm,A decussation of the diencephalon where the fibers of the optic nerve cross
http://purl.obolibrary.org/obo/PLANA_0000079,parenchymal musculature,"Muscles that are present through the mesenchyme, inclusing dorsal-ventral muscles, intestinal muscles and pharynx muscles."
http://purl.obolibrary.org/obo/RO_0002212,negatively regulates,"Process(P1) negatively regulates process(P2) iff: P1 terminates P2, or P1 descreases the the frequency of initiation of P2 or the magnitude or rate of output of P2."
http://purl.obolibrary.org/obo/RO_0002212,negatively regulates,"Process(P1) negatively regulates process(P2) iff: P1 terminates P2, or P1 descreases the the frequency of initiation of P2 or the magnitude or rate of output of P2."
http://purl.obolibrary.org/obo/GO_0065007,biological regulation,"Any process that modulates a measurable attribute of any biological process, quality or function."
http://purl.obolibrary.org/obo/RO_0002384,has developmental potential involving,"x has developmental potential involving y iff x is capable of a developmental process with output y. y may be the successor of x, or may be a different structure in the vicinity (as for example in the case of developmental induction)."
http://purl.obolibrary.org/obo/PLANA_0003253,meiotic telophase I spermatocyte,spermatocyte undergoing meiotic telophase I
http://purl.obolibrary.org/obo/GO_0007338,single fertilization,The union of male and female gametes to form a zygote.
http://purl.obolibrary.org/obo/IAO_0000224,core,Core is an instance of a grouping of terms from an ontology or ontologies. It is used by the ontology to identify main classes.
http://purl.obolibrary.org/obo/PLANA_0007521,left-right axis,"Axis perpendicular to both the anteroposterior and dorsoventral axis that runs from the left side of the animal, through the medial region (center) and out to the right side."
http://purl.obolibrary.org/obo/BSPO_0000017,left-right axis,"An axis that bisects an organism from left to right sides of body, through a sagittal plane."
http://purl.obolibrary.org/obo/PLANA_0000074,oocyte,A female germ cell that has entered meiosis.
http://purl.obolibrary.org/obo/PLANA_0003216,G2 phase  oogonial stem cell,oogonial stem cell undergoing mitotic G2 phase
http://purl.obolibrary.org/obo/PLANA_0002122,perturbation,An event or occurrence that causes damage to a tissue or organ.
http://purl.obolibrary.org/obo/GO_0006796,phosphate-containing compound metabolic process,"The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."
http://purl.obolibrary.org/obo/GO_2000242,negative regulation of reproductive process,"Any process that stops, prevents, or reduces the frequency, rate or extent of reproductive process."
http://purl.obolibrary.org/obo/GO_0045992,negative regulation of embryonic development,"Any process that stops, prevents, or reduces the frequency, rate or extent of embryonic development."
http://purl.obolibrary.org/obo/PLANA_0004532,oviduct epithelium,Ciliated epithelium lining the oviduct.
http://purl.obolibrary.org/obo/PLANA_0000417,definitive organism subdivision,"Anatomical structure which is a subdivision of a whole adult or juvenile organism, consisting of components of multiple anatomical systems."
http://purl.obolibrary.org/obo/PLANA_0000227,germ cell,1. A gamete (as an egg or sperm cell) or one of its antecedent cells. 2. A mature male or female germ cell usually possessing a haploid chromosome set and capable of initiating formation of a new diploid individual by fusion with a gamete of the opposite sex.
http://purl.obolibrary.org/obo/PLANA_0003401,testis lumen,lumen which is part of the testis
http://purl.obolibrary.org/obo/PLANA_0002067,nuclear outer membrane,"The outer, i.e. cytoplasm-facing, lipid bilayer of the nuclear envelope; continuous with the endoplasmic reticulum of the cell and sometimes studded with ribosomes."
http://purl.obolibrary.org/obo/PLANA_0003211,metaphase spermatogonial stem cell,spermatogonial stem cell undergoing mitotic metaphase
http://purl.obolibrary.org/obo/GO_0051447,negative regulation of meiotic cell cycle,"Any process that stops, prevents or reduces the rate or extent of progression through the meiotic cell cycle."
http://purl.obolibrary.org/obo/UBERON_0000068,embryo stage,A life cycle stage that starts with fertilization and ends with the fully formed embryo.
http://purl.obolibrary.org/obo/PLANA_0000412,pharynx inner epithelium surface,"The epithelial surface lining the interior of the pharynx, facing the lumen."
http://purl.obolibrary.org/obo/PLANA_0000222,spermatid,"A male germ cell that develops from the haploid secondary spermatocytes. Without further division, spermatids undergo structural changes and give rise to spermatozoa."
http://purl.obolibrary.org/obo/PLANA_0000032,dorsal midline,The median line/plane of bilateral symmetry along the anteroposterior axis on the dorsal surface of the animal.
http://purl.obolibrary.org/obo/GO_0007088,regulation of mitotic nuclear division,"Any process that modulates the frequency, rate or extent of mitosis."
http://purl.obolibrary.org/obo/PLANA_0002062,neuropeptidergic neuron,A neuron that produces and releases neuropeptides at chemical synapses.
http://purl.obolibrary.org/obo/GO_0048522,positive regulation of cellular process,"Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
http://purl.obolibrary.org/obo/PLANA_0000547,commissural neuron,A neuron that has an axon which crosses the midline.
http://purl.obolibrary.org/obo/PLANA_0002025,commissure,A bundle of nerve fibers crossing from one side to the other side of the brain or spinal cord.
http://purl.obolibrary.org/obo/PLANA_0007559,ovary nerve plexus,Nerve plexus surrounding the ovary.
http://purl.obolibrary.org/obo/IAO_0000122,ready for release,"Class has undergone final review, is ready for use, and will be included in the next release. Any class lacking ""ready_for_release"" should be considered likely to change place in hierarchy, have its definition refined, or be obsoleted in the next release.  Those classes deemed ""ready_for_release"" will also derived from a chain of ancestor classes that are also ""ready_for_release."""
http://purl.obolibrary.org/obo/GO_0003674,molecular_function,"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs. These actions are described from two distinct but related perspectives: (1) biochemical activity, and (2) role as a component in a larger system/process."
http://purl.obolibrary.org/obo/GO_0003824,catalytic activity,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
http://purl.obolibrary.org/obo/PLANA_0003304,testis primordium,This primordium develops into testis
http://purl.obolibrary.org/obo/PLANA_0003114,melanin pigment granule,pigment granule which is part of the eumelanin
http://purl.obolibrary.org/obo/PLANA_0002058,melanosome,"A tissue-specific, membrane-bounded cytoplasmic organelle within which melanin pigments are synthesized and stored. Melanosomes are synthesized in melanocyte cells."
http://purl.obolibrary.org/obo/PLANA_0002020,chromatoid body,"A membrane-less, cytoplasmic ribonucleoprotein granule present in neoblasts and germ cells implicated in post-transcriptional regulation. The RNA helicase DHH1/RCK, Tudor, SmB, methylated substrates of PRMT5, PIWI-3 and Germinal Histone H4 localize to chromatoid bodies in neoblasts."
http://purl.obolibrary.org/obo/PLANA_0000505,cell-cell contact zone,Extended zone of intimate apposition between two cells containing one or more types of intercellular junctions.
http://purl.obolibrary.org/obo/PLANA_0000125,sensory system,Anatomical system that overlaps the nervous system and is responsible for receiving and processing sensory information.
http://purl.obolibrary.org/obo/RO_0002018,has component process,"w 'has process component' p if p and w are processes,  w 'has part' p and w is such that it can be directly disassembled into into n parts p, p2, p3, ..., pn, where these parts are of similar type."
